initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
AK,33,Female,7.3526707499986514,giraf,2,5,4
AK,33,Female,2.0399458750034682,elefant,2,5,4
AK,33,Female,8.365196583006764,edderkop,2,5,4
AK,33,Female,1.3328951250005048,ko,2,5,4
AK,33,Female,1.8780502500012517,hest,2,5,4
AK,33,Female,2.7712929589906707,pony,2,5,4
AK,33,Female,2.460518666979624,æsel,2,5,4
AK,33,Female,5.316915917006554,dovendyr,2,5,4
AK,33,Female,2.398956832999829,koala,2,5,4
AK,33,Female,4.033722792024491,panda,2,5,4
AK,33,Female,5.28216762500233,kat,2,5,4
AK,33,Female,1.6218346660025418,hund,2,5,4
AK,33,Female,1.8782110000029206,leopard,2,5,4
AK,33,Female,3.5321794170013163,gepard,2,5,4
AK,33,Female,3.767091583024012,fugleedderkop,2,5,4
AK,33,Female,1.9988380840222817,slange,2,5,4
