initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
AV,22,M,1.1692602499970235,hund,3,2,3
AV,22,M,1.232240749988705,kat,3,2,3
AV,22,M,2.172050791006768,hamster,3,2,3
AV,22,M,1.4279496669769287,zebra,3,2,3
AV,22,M,0.999625125026796,giraf,3,2,3
AV,22,M,1.9832261659903452,flodhest,3,2,3
AV,22,M,0.8877440000069328,hest,3,2,3
AV,22,M,1.2615759170148522,ko,3,2,3
AV,22,M,0.9162574590009172,gris,3,2,3
AV,22,M,3.0496272500022314,kylling,3,2,3
AV,22,M,6.2162665000068955,slange,3,2,3
AV,22,M,4.182916707999539,edderkop,3,2,3
AV,22,M,0.8210880419937894,myg,3,2,3
AV,22,M,1.700005874998169,flue,3,2,3
AV,22,M,2.083159958012402,græshopper,3,2,3
AV,22,M,9.715877875016304,stankelben,3,2,3
AV,22,M,17.43294008402154,krave,3,2,3
AV,22,M,2.478189832996577,ugle,3,2,3
