initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
DDP,22,F,1.724576459004311,hund,2,4,3
DDP,22,F,1.2273856250103563,kat,2,4,3
DDP,22,F,2.438395249977475,ko,2,4,3
DDP,22,F,1.6999416670005303,hest,2,4,3
DDP,22,F,7.516264749981929,papegoeje,2,4,3
DDP,22,F,5.644757750007557,faar,2,4,3
DDP,22,F,2.6712677920004353,ged,2,4,3
DDP,22,F,7.56667987498804,isbjoern,2,4,3
DDP,22,F,3.0996657090145163,pingvin,2,4,3
DDP,22,F,4.4274918750161305,flodhest,2,4,3
DDP,22,F,4.4830292080005165,drommedar,2,4,3
DDP,22,F,1.5880748329800554,kamel,2,4,3
DDP,22,F,5.066503790993011,foel,2,4,3
DDP,22,F,3.5496252920129336,kylling,2,4,3
DDP,22,F,1.5111089160200208,hane,2,4,3
