initials,age,binary sex (F/M),time,word,competitiveness
DL,25,M,2.218144917016616,flodhest,5
DL,25,M,1.166282999998657,markmus,5
DL,25,M,0.7213404159992933,trane,5
DL,25,M,2.34483120898949,giraf,5
DL,25,M,0.7155325000057928,lbe,5
DL,25,M,2.6003603750141338,loeve,5
DL,25,M,1.1381007080199197,tiger,5
DL,25,M,1.9779005419986788,sabeltiger,5
DL,25,M,1.7997212079935707,ged,5
DL,25,M,2.7663339999853633,boeffel,5
DL,25,M,3.188598875014577,flue,5
DL,25,M,2.9832109170092735,flagermus,5
DL,25,M,1.2597527079924475,and,5
DL,25,M,3.805397374992026,hund,5
DL,25,M,0.9444450410082936,kat,5
DL,25,M,2.5546998339996208,krage,5
DL,25,M,7.644597208010964,gaas,5
DL,25,M,3.7657367500069086,abe,5
DL,25,M,5.516245707985945,orangutang,5
DL,25,M,4.217026291997172,gorilla,5
DL,25,M,3.1161092499969527,zebra,5
