initials,age,binary sex (F/M),time,word,competitiveness
ED,22,Female,1.9851720000151545,hund,3
ED,22,Female,1.161782332987059,kat,3
ED,22,Female,2.5995282090152614,pingvin,3
ED,22,Female,1.2378582500095945,kamel,3
ED,22,Female,4.799743333016522,fisk,3
ED,22,Female,6.7946819579810835,hest,3
ED,22,Female,5.3051639579935,æsel,3
ED,22,Female,3.211408792005386,kanin,3
ED,22,Female,2.9656495839881245,marsvin,3
ED,22,Female,2.482341875002021,delfin,3
ED,22,Female,4.032916500000283,hamster,3
ED,22,Female,4.088534707989311,tyr,3
ED,22,Female,1.016935374995228,ko,3
ED,22,Female,1.1608282089873683,so,3
ED,22,Female,0.9661334170086775,gris,3
ED,22,Female,12.371629041997949,trane,3
