initials,age,binary sex (F/M),time,word,competitiveness
EPF,20,Female,3.87560129200574,hest,2
EPF,20,Female,2.5107470419898164,hund,2
EPF,20,Female,1.850280417012982,kat,2
EPF,20,Female,5.4330052500008605,bjørn,2
EPF,20,Female,5.448843166988809,måge,2
EPF,20,Female,2.0060238750011194,orm,2
EPF,20,Female,1.7323323750169948,slange,2
EPF,20,Female,4.233081749989651,fladfisk,2
EPF,20,Female,2.5272032920038328,makrel,2
EPF,20,Female,2.655034124996746,ål,2
EPF,20,Female,10.76639829200576,kænguru,2
EPF,20,Female,4.560756874998333,ko,2
EPF,20,Female,1.2670207079790998,gris,2
EPF,20,Female,5.682865207985742,okse,2
EPF,20,Female,3.0996162079973146,hare,2
