initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
ETS,21,M,4.196858957991935,elg ,4,4,2
ETS,21,M,1.1552674580016173,katt,4,4,2
ETS,21,M,1.2940912920166738,hund,4,4,2
ETS,21,M,2.0383465419872664,bie,4,4,2
ETS,21,M,2.1830219169787597,mus,4,4,2
ETS,21,M,1.0839195419976022,hest,4,4,2
ETS,21,M,1.1433557920099702,geit,4,4,2
ETS,21,M,2.7216928749985527,zebra,4,4,2
ETS,21,M,5.695014916011132,loeve,4,4,2
ETS,21,M,2.6380882499797735,giraff,4,4,2
ETS,21,M,3.8944906670076307,neshorn,4,4,2
ETS,21,M,6.438068999996176,krokodille,4,4,2
ETS,21,M,5.799477833992569,elefant,4,4,2
ETS,21,M,1.566476292005973,hamster,4,4,2
ETS,21,M,3.3662069579877425,reinsdyr,4,4,2
ETS,21,M,3.0772180409985594,ilder,4,4,2
ETS,21,M,5.216842417023145,ddyr,4,4,2
ETS,21,M,1.2046786669816356,rdyr,4,4,2
ETS,21,M,1.5112856669875327,moskus,4,4,2
