initials,age,binary sex (F/M),time,word,competitiveness
FL,23,Female,1.8340311660140287,gris,4
FL,23,Female,1.1164917499991134,hund,4
FL,23,Female,1.2499530419881921,kat,4
FL,23,Female,1.6278101250063628,hval,4
FL,23,Female,2.1877949579793494,fugl,4
FL,23,Female,5.69475116598187,krokodille,4
FL,23,Female,1.738086958997883,alligator,4
FL,23,Female,2.916008000000147,fisk,4
FL,23,Female,1.916682499984745,blåhval,4
FL,23,Female,1.882910707994597,tiger,4
FL,23,Female,2.4281572079926264,elefant,4
FL,23,Female,3.148752833978506,løve,4
FL,23,Female,2.272039416973712,myg,4
FL,23,Female,1.199562750000041,flue,4
FL,23,Female,2.44408275000751,bananflue,4
FL,23,Female,3.4669667079870123,ko,4
FL,23,Female,7.366271874983795,solsort,4
FL,23,Female,2.9655627080064733,haj,4
FL,23,Female,1.700278750009602,hvidhaj,4
