initials,age,binary sex (F/M),time,word,competitiveness
HNF,22,Male,4.813863666990073,hest,5
HNF,22,Male,1.0161534169747028,hund,5
HNF,22,Male,1.27136766599142,kat,5
HNF,22,Male,1.6614112079842016,flue,5
HNF,22,Male,2.2712673750065733,hveps,5
HNF,22,Male,2.977912041998934,myg,5
HNF,22,Male,2.4880809170135763,fugl,5
HNF,22,Male,4.082970749994274,ørn,5
HNF,22,Male,3.4938742079830263,bjørn,5
HNF,22,Male,3.8052857909933664,gås,5
HNF,22,Male,2.294971458002692,svane,5
HNF,22,Male,2.704503916989779,tiger,5
HNF,22,Male,1.8940566669916734,løve,5
HNF,22,Male,2.9669523749907967,bjørn,5
HNF,22,Male,1.7988150840101298,myre,5
HNF,22,Male,6.7167999999946915,ugle,5
HNF,22,Male,3.799944124999456,leopard,5
HNF,22,Male,2.92098108297796,krokodille,5
HNF,22,Male,3.143903374992078,alligator,5
