initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
JA,26,F,3.2872573749918956,hund,2,4,2
JA,26,F,1.1613047079881653,kat,2,4,2
JA,26,F,1.1324346659821458,mus,2,4,2
JA,26,F,1.5723481659952085,hest,2,4,2
JA,26,F,1.9601655830047093,giraf,2,4,2
JA,26,F,5.299641667021206,bøffel,2,4,2
JA,26,F,3.2170416669978295,rotte,2,4,2
JA,26,F,9.349442875012755,løve,2,4,2
JA,26,F,3.7665478750132024,fugl,2,4,2
JA,26,F,5.298686165973777,fisk,2,4,2
JA,26,F,7.172499333013548,krabbe,2,4,2
