initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
KN,23,M,3.2918502079846803,abe,4,2,3
KN,23,M,5.616333874990232,larve,4,2,3
KN,23,M,4.715416541992454,rådyr,4,2,3
KN,23,M,1.6171325419854838,løve,4,2,3
KN,23,M,4.299421583011281,sæl,4,2,3
KN,23,M,2.371373500005575,elefant,4,2,3
KN,23,M,2.3945505830051843,bison,4,2,3
KN,23,M,1.5214451669889968,gnu,4,2,3
KN,23,M,1.883044707996305,antilope,4,2,3
KN,23,M,3.0328199999930803,krokodille,4,2,3
KN,23,M,1.6830861670023296,flodhest,4,2,3
KN,23,M,3.2781167080102023,bi,4,2,3
KN,23,M,3.699479667004198,flue,4,2,3
KN,23,M,1.716512667015195,myg,4,2,3
KN,23,M,1.454434459010372,hveps,4,2,3
KN,23,M,2.632959040987771,hest,4,2,3
KN,23,M,0.8948446249996778,ko,4,2,3
KN,23,M,2.799543083005119,får,4,2,3
KN,23,M,2.8045209590054583,gris,4,2,3
