initials,age,binary sex (F/M),time,word,competitiveness
MJ,21,Female,3.404838916991139,giraf,3
MJ,21,Female,2.7818512500089128,hund,3
MJ,21,Female,2.778083917015465,kat,3
MJ,21,Female,2.199571000004653,orm,3
MJ,21,Female,3.498891833005473,slange,3
MJ,21,Female,4.538598000013735,fugl,3
MJ,21,Female,1.894740334013477,flamingo,3
MJ,21,Female,4.282231082994258,geopard,3
MJ,21,Female,4.066985667013796,ged,3
MJ,21,Female,1.5715399159817025,gris,3
MJ,21,Female,1.1829056249989662,ko,3
MJ,21,Female,3.61126570799388,jaguar,3
MJ,21,Female,5.421389916999033,pingvin,3
MJ,21,Female,5.127929790993221,bjørn,3
MJ,21,Female,2.5163750830106437,isbjørn,3
MJ,21,Female,9.104288417001953,ugle,3
