initials,age,binary sex (F/M),time,word,competitiveness
MLGA,23,Male,2.402020583016565,kat,3
MLGA,23,Male,1.404467290994944,hund,3
MLGA,23,Male,1.178196458000457,mus,3
MLGA,23,Male,1.8828114579955582,rotte,3
MLGA,23,Male,2.99957154202275,zebra,3
MLGA,23,Male,2.216321749991039,giraf,3
MLGA,23,Male,5.121308750007302,næsehorn,3
MLGA,23,Male,2.8669922500266694,elefant,3
MLGA,23,Male,5.150042375025805,løve,3
MLGA,23,Male,1.6928941670048516,tiger,3
MLGA,23,Male,4.683607666986063,panter,3
MLGA,23,Male,1.5498172499937937,slange,3
MLGA,23,Male,2.104506457981188,panda,3
MLGA,23,Male,4.544668958988041,bjørn,3
MLGA,23,Male,1.3546639579872135,haj,3
MLGA,23,Male,1.3496218750078697,hval,3
MLGA,23,Male,3.216436834016349,laks,3
MLGA,23,Male,3.1939096249989234,torsk,3
MLGA,23,Male,8.422063832986169,blæksprutte,3
