initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
MSR,21,Female,2.929445665999083,frø,2,4,2
MSR,21,Female,2.6996469589939807,fugl,2,4,2
MSR,21,Female,1.588099582993891,haj,2,4,2
MSR,21,Female,1.4830387909896672,hare,2,4,2
MSR,21,Female,1.39455004199408,kanin,2,4,2
MSR,21,Female,2.804860959004145,giraf,2,4,2
MSR,21,Female,2.4778032499889378,elefant,2,4,2
MSR,21,Female,3.0163509170233738,mus,2,4,2
MSR,21,Female,1.1495963750057854,rotte,2,4,2
MSR,21,Female,1.3664405419840477,hest,2,4,2
MSR,21,Female,2.9320695839996915,sæl,2,4,2
MSR,21,Female,2.7170552499883343,zebra,2,4,2
MSR,21,Female,4.471693208004581,æsel,2,4,2
MSR,21,Female,5.765817457984667,myre,2,4,2
MSR,21,Female,3.2004908329981845,edderkop,2,4,2
MSR,21,Female,7.300133666984038,bjørn,2,4,2
MSR,21,Female,1.9655497090134304,isbjørn,2,4,2
MSR,21,Female,8.849348375020782,fisk,2,4,2
