initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
SHA,23,F,6.902090916992165,abe,5,4,4
SHA,23,F,2.616618332976941,bjoorn,5,4,4
SHA,23,F,4.5112224589975085,krokodille,5,4,4
SHA,23,F,3.866288290999364,chimpanse,5,4,4
SHA,23,F,4.337930041976506,kylling,5,4,4
SHA,23,F,2.2997038750036154,hest,5,4,4
SHA,23,F,0.8448415000166278,ko,5,4,4
SHA,23,F,1.5327285839885008,gris,5,4,4
SHA,23,F,1.7546570420090575,fr,5,4,4
SHA,23,F,2.4949235829990357,ged,5,4,4
SHA,23,F,2.8376648330013268,hval,5,4,4
SHA,23,F,1.9446859169984236,delfin,5,4,4
SHA,23,F,1.399884500016924,haj,5,4,4
SHA,23,F,3.787979999993695,guldfisk,5,4,4
SHA,23,F,3.2446786249929573,fr,5,4,4
SHA,23,F,2.1327790830109734,tudse,5,4,4
SHA,23,F,4.616276916989591,firben,5,4,4
SHA,23,F,2.9664242079888936,mus,5,4,4
SHA,23,F,1.5996879580197856,rotte,5,4,4
SHA,23,F,3.1496795830025803,hamster,5,4,4
