initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
SLPS,23,Female,2.100832249998348,kat,4,5,3
SLPS,23,Female,1.6331324999919161,hund,4,5,3
SLPS,23,Female,1.766461041988805,gris,4,5,3
SLPS,23,Female,1.2826851249847095,fr,4,5,3
SLPS,23,Female,2.1617076659749728,hamster,4,5,3
SLPS,23,Female,3.5712030839931685,hest,4,5,3
SLPS,23,Female,3.9828549590019975,kalkun,4,5,3
SLPS,23,Female,2.578204874997027,kylling,4,5,3
SLPS,23,Female,5.449465249985224,rv,4,5,3
SLPS,23,Female,6.132972292019986,abe,4,5,3
SLPS,23,Female,2.0882074590190314,elefant,4,5,3
SLPS,23,Female,1.6279238749993965,giraf,4,5,3
SLPS,23,Female,1.6821534999762662,panda,4,5,3
SLPS,23,Female,12.283551000000443,flamingo,4,5,3
SLPS,23,Female,6.349737250013277,degu,4,5,3
SLPS,23,Female,3.271216875000391,chinchilla,4,5,3
